num, ref
4040227, 281
4040302, 8857
4040308, 9280
4040329, 5822
4040330, 2924
4040331, 4464
4040345, 3100
4040346, 4156
4040352, 2890
4040360, 3443
4040361, 5577
4040367, 5217
4040370, 549
4040372, 7252
4040373, 924
4040380, 7523
4040382, 8498
4040384, 8307
4040389, 1374
4040390, 1391
4040391, 2066
4040394, 8290
4040396, 2132
4040400, 8276
4040401, 6089
4040402, 2249
4040403, 2294
4040404, 2243
4040405, 698
4040406, 627
4040413, 2329
4040414, 2338
4040415, 2325
4040417, 2311
4040419, 2306
4040422, 2441
4040423, 2484
4040426, 2460
4040430, 6915
4040434, 2823
4040435, 2938
4040436, 3211
4040440, 635
4040445, 8865
4040447, 5056
4040449, 6721
4040450, 3328
4040460, 5795
4040462, 372
4040469, 4178
4040482, 6487
4040489, 1021
4040490, 9265
4040504, 7914
4040508, 4513
4040515, 1526
4040525, 8780
4040528, 8909
4040537, 4874
4040542, 8716
4040544, 7127
4040545, 9909
4040550, 5573
4040553, 8749
4040555, 2560
4040562, 4696
4040566, 8405
4040568, 8499
4040571, 9344
4040577, 8754
4040578, 7666
4040583, 8094
4040584, 9368
4040592, 7403
4040594, 8797
4040598, 7129
4040603, 8516
4040608, 8575
4040609, 8870
4040610, 6505
4040616, 3636
4040617, 3309
4040624, 6965
4040633, 7945
4040636, 9623
4040639, 465
4040728, 8348
4040730, 7804
4040731, 5905
4040737, 3307
4040740, 2491
4040742, 8219
4040745, 3831
4040749, 4830
4040750, 9951
4040752, 9878
4040758, 9476
4040759, 3393
4040760, 9137
4040764, 5312
4040765, 8868
4040767, 2464
4040768, 5234
4040769, 5818
4040772, 6304
4040774, 8770
4040780, 2894
4040785, 987
4040786, 0
4040791, 946
4040794, 416
4040795, 4216
4040798, 6578
4040805, 499
4040806, 9998
4040808, 1935
4040809, 9782
4040811, 4435
4040812, 9064
4040822, 2857
4040824, 2386
4040828, 744
4040839, 2140
4040844, 5314
4040846, 9804
4040853, 8472
4040854, 5412
4040861, 2711
4040862, 4559
4040863, 5761
4040864, 6275
4040865, 1157
4040869, 56
4040872, 6145
4040873, 684
4040874, 1
4040875, 2
4040876, 3
4040877, 4
4040878, 5
4040879, 6
4040880, 7
4040881, 8
4040882, 9
4040883, 10
4040884, 11
4040885, 12
4040886, 13
4040887, 14
4040888, 15
4040889, 16
4040890, 17
4040891, 18
4040892, 19
4040893, 174
4040894, 20
4040895, 21
4040896, 22
4040897, 23
4040898, 24
4040899, 25
4040900, 26
4040901, 27
4040902, 28
4040903, 29
4040907, 30
4040908, 31
4040909, 32
4040910, 33
4040911, 34
4040912, 35
4040919, 999
4040921, 7184
4040924, 7084
4040925, 7191
4040931, 117
4040932, 8740
4040940, 8892
4040946, 9865
4040954, 8386
4040963, 4850
4040972, 8902
4040977, 4121
4040987, 5944
4040993, 2708
