id, type, attributes
0, greenfemale, earring / blondebob / greeneyeshadow
1, gold, mohawk
2, female3, wildhair
3, male1, wildhair / pipe / nerdglasses
4, green, goat / earring / wildhair / bigshades
5, greenfemale, earring / halfshaved / purpleeyeshadow
6, green, dorag
7, greenfemale, spots / wildwhitehair / clowneyesblue
8, male1, luxuriousbeard / messyhair
9, green, bigbeard / policecap / clownnose
10, female1, mohawk / blueeyeshadow
11, greenfemale, blacklipstick / straighthairdark / clowneyesgreen
12, female1, purplelipstick / blondeshort
13, female3, blacklipstick / straighthairblonde / bigshades
14, female1, hotlipstick / pilothelmet / pipe
15, male4, luxuriousbeard / wildhair / regularshades
16, green, earring / stringyhair / lasereyes gold
17, bot, mohawk
18, green, muttonchops / eyemask
19, female1, hotlipstick / bandana / hornedrimglasses
20, male3, crazyhair
21, male3, earring / messyhair / classicshades
22, female1, purplelipstick / pilothelmet
23, male3, handlebars / earring / dorag
24, gold, mohawkdark
25, female1, wildwhitehair
26, greenfemale, darkhair
27, male3, earring / peakspike
28, male1, crazyhair / bigshades
29, greenfemale, earring / halfshaved / hornedrimglasses
30, male1, normalbeardblack / cap
31, female1, stringyhair
32, bot, vr
33, male3, peakspike
34, female3, purplelipstick / frumpyhair
35, male1, normalbeard / earring / peakspike / cigarette / hornedrimglasses
36, greenfemale, redmohawk
37, female1, cap / clowneyesblue
38, female3, purplelipstick / frumpyhair / classicshades
39, skeleton, shavedhead / regularshades
40, gold, chinstrap / bandana
41, male1, muttonchops / wildhair / clowneyesgreen
42, female1, wildhair / cigarette
43, greenfemale, halfshaved
44, male3, messyhair
45, green, mole / earring
46, greenfemale, purplelipstick / straighthairdark
47, male1, knittedcap
48, male3, mohawk / bigshades
49, female1, bandana / purpleeyeshadow
50, green, spots / fedora
51, green, muttonchops / earring / wildhair
52, male1, shadowbeard / earring / knittedcap / nerdglasses
53, female3, straighthair / bigshades
54, male1, hoodie
55, male3, eyepatch
56, blue, shavedhead
57, male3, headband
58, green, normalbeardblack / hoodie
59, male4, muttonchops / cowboyhat
60, female3, purplelipstick / stringyhair
61, female3, darkhair
62, female1, hotlipstick / earring / mohawkdark / clowneyesblue
63, male1, earring / shavedhead / lasereyes gold
64, greenfemale, purplelipstick / straighthairblonde
65, greenfemale, headband / eyemask
66, female1, tasslehat
67, female1, purplelipstick / halfshaved / 3dglasses
68, male1, dorag / nerdglasses
69, green, normalbeardblack / fedora
70, greenfemale, earring / crazyhair / cigarette / regularshades
71, female3, purplelipstick / halfshaved / greeneyeshadow
72, male1, normalbeard / earring / fedora / nerdglasses
73, greenfemale, blacklipstick / earring / bandana
74, male1, shadowbeard / earring / mohawkdark
75, male3, shadowbeard / knittedcap / eyepatch
76, male3, dorag / cigarette
77, male1, handlebars / stringyhair
78, green, handlebars / knittedcap / eyepatch
79, male1, normalbeard / mohawkdark
80, male4, mustache / wildhair
81, male3, headband / lasereyes gold
82, male4, headband
83, male3, shavedhead / vape / lasereyes gold
84, male3, earring / messyhair / bigshades
85, female1, crazyhair
86, female1, hotlipstick / earring / knittedcap / greeneyeshadow
87, male3, earring / hoodie
88, female3, hotlipstick / cap
89, female1, choker
90, green, hoodie / eyepatch
91, female3, straighthair / clownnose
92, female3, purplelipstick / pinkwithhat / nerdglasses
93, female3, bandana
94, female1, earring / pinkwithhat / regularshades
95, green, earring / mohawk
96, female3, blondebob
97, green, wildhair
98, female3, blacklipstick / darkhair / lasereyes gold
99, green, hoodie / cigarette
100, greenfemale, tasslehat
101, green, policecap / nerdglasses
102, green, luxuriousbeard / vampirehair
103, female1, blacklipstick / blondebob / greeneyeshadow
104, male1, normalbeardblack / earring / crazyhair / eyepatch
105, male3, mohawkthin
106, female3, straighthairblonde
107, green, headband
108, female3, blacklipstick / headband
109, male1, handlebars / earring / fedora
110, female1, purplelipstick / earring / mohawkdark / cigarette
111, male1, handlebars / knittedcap
112, green, bigbeard / earring / bandana / hornedrimglasses
113, male4, mohawk
114, female1, redmohawk
115, female1, earring / halfshaved
116, female1, blacklipstick / earring / tiara / clowneyesblue
117, zombie, frontbearddark / messyhair
118, female3, blacklipstick / bandana
119, green, earring / cap
120, greenfemale, tasslehat / bigshades
121, female3, purplelipstick / tiara
122, male3, mohawk / cigarette
123, greenfemale, spots / wildwhitehair
124, green, normalbeardblack / earring / peakspike
125, female3, purplelipstick / tasslehat / bigshades
126, male4, earring / headband / cigarette / eyepatch
127, greenfemale, stringyhair / clowneyesgreen
128, male3, mole / chinstrap / policecap / vape
129, male3, goldchain / capforward / cigarette / hornedrimglasses
130, male3, mohawk
131, greenfemale, hotlipstick / straighthairdark
132, blue, mohawkthin
133, male4, chinstrap / purplehair / pipe
134, green, policecap
135, male3, capforward
136, male1, shadowbeard / shavedhead / clowneyesgreen
137, male1, messyhair
138, male3, stringyhair / hornedrimglasses
139, green, dorag / eyepatch
140, female1, hotlipstick
141, male1, chinstrap / headband / 3dglasses
142, male3, mohawk / regularshades
143, male3, beanie / hornedrimglasses
144, male1, luxuriousbeard / frumpyhair / cigarette
145, male3, wildhair
146, male3, earring / mohawk
147, male4, mohawkthin / regularshades
148, green, hoodie
149, male3, luxuriousbeard / messyhair / bigshades
150, greenfemale, purplelipstick / earring
151, green, stringyhair / vr
152, male3, mohawkdark / clowneyesgreen
153, green, earring / cap / eyemask
154, male1, shadowbeard / earring / hoodie
155, male1, clownhairgreen / clownnose
156, male1, capforward / lasereyes gold
157, green, cap / cigarette
158, male3, goat / wildhair / regularshades
159, male3, earring / stringyhair
160, greenfemale, purplelipstick / pigtails / clowneyesblue
161, female1, hotlipstick / frumpyhair
162, green, normalbeardblack / frumpyhair / hornedrimglasses
163, male1, shavedhead / eyepatch
164, greenfemale, stringyhair / vr
165, green, frontbearddark / mohawkdark / cigarette
166, male1, shavedhead / regularshades
167, greenfemale, hotlipstick / headband
168, female3, silverchain / blondebob / blueeyeshadow
169, greenfemale, hotlipstick / wildwhitehair / regularshades
170, male3, mole / peakspike / classicshades
171, green, mole / earring / stringyhair
172, greenfemale, purplelipstick / blondebob / 3dglasses
173, female1, hotlipstick / mole / messyhair / pipe / clowneyesblue
174, blue, earring / wildhair / hornedrimglasses
175, green, cap / bigshades
176, female1, purplelipstick / earring / wildhair / regularshades
177, male1, luxuriousbeard / bandana
178, green, fedora
179, male4, shadowbeard / mohawkthin / classicshades
180, female1, hotlipstick / pilothelmet
181, male1, mohawk
182, male4, peakspike
183, male3, shadowbeard
184, female1, blondebob / greeneyeshadow
185, female3, hotlipstick / wildwhitehair
186, male1, mustache / crazyhair
187, female3, straighthair
188, male1, earring / peakspike / nerdglasses
189, female3, purplelipstick / mohawkthin
190, male1, headband
191, female1, mohawk
192, green, earring / mohawkthin / nerdglasses / clownnose
193, female3, earring / tasslehat / greeneyeshadow
194, male3, wildhair / clowneyesgreen
195, female3, straighthairblonde / nerdglasses
196, female3, hotlipstick / tasslehat / bigshades
197, male1, frumpyhair / eyepatch
198, green, luxuriousbeard / beanie
199, female3, blondeshort / classicshades
200, female1, wildhair
201, greenfemale, hotlipstick / darkhair / cigarette / blueeyeshadow
202, female3, purplelipstick / earring / headband
203, male3, frontbeard / messyhair / regularshades
204, green, crazyhair / regularshades
205, green, normalbeardblack / mohawkdark / bigshades
206, male3, capforward / cigarette / clownnose
207, male3, peakspike / pipe / eyepatch
208, green, earring / shavedhead / 3dglasses
209, female1, hotlipstick / stringyhair
210, greenfemale, earring / straighthairdark
211, male1, goat / mohawkthin
212, female1, hotlipstick / crazyhair
213, greenfemale, crazyhair
214, male1, frontbearddark / mohawk
215, greenfemale, mohawk
216, green, bandana
217, green, chinstrap / earring / mohawkdark
218, male3, mole / handlebars / cap / regularshades
219, female1, rosycheeks / earring / bandana / clowneyesblue
220, male4, headband / bigshades
221, male1, muttonchops / stringyhair / cigarette / classicshades
222, male3, dorag / pipe / lasereyes gold
223, male3, normalbeard / crazyhair / nerdglasses
224, male3, earring / headband / cigarette / nerdglasses
225, greenfemale, hotlipstick / earring / orangeside
226, greenfemale, hotlipstick
227, greenfemale, wildwhitehair
228, green, peakspike / lasereyes gold
229, male3, messyhair / cigarette
230, blue, luxuriousbeard / knittedcap
231, greenfemale, earring / stringyhair / pipe
232, female1, wildhair / blueeyeshadow
233, female4, hotlipstick / bandana
234, male3, knittedcap / nerdglasses
235, male3, frumpyhair / cigarette
236, male3, muttonchops / vampirehair
237, male1, mohawk / regularshades
238, greenfemale, straighthairdark / clowneyesgreen
239, skeleton, goat / mohawk
240, greenfemale, straighthairblonde / bigshades
241, female3, wildblonde
242, female1, blacklipstick / stringyhair
243, male3, frontbeard / earring / policecap / cigarette
244, female3, purplelipstick / wildhair / regularshades
245, female1, darkhair
246, male4, luxuriousbeard / earring / bandana
247, female1, mohawkdark / greeneyeshadow
248, female1, messyhair / purpleeyeshadow
249, female3, orangeside
250, greenfemale, earring / frumpyhair / clowneyesgreen
251, female3, mohawkdark / greeneyeshadow
252, male4, mole / capforward
253, female1, blondeshort / clowneyesgreen
254, male3, fedora
255, male3, mustache / shavedhead
256, male1, earring / fedora / vape / eyepatch
257, bot, cap
258, green, handlebars / capforward
259, male3, earring / capforward / eyemask
260, male1, purplehair / 3dglasses
261, female1, blacklipstick / wildwhitehair
262, female1, blondeshort / regularshades
263, male4, muttonchops / messyhair
264, female4, earring / wildwhitehair
265, male1, goldchain / earring / capforward
266, male1, earring / dorag / lasereyes gold
267, male1, fedora / clownnose
268, female3, knittedcap
269, male1, luxuriousbeard / earring / hoodie / lasereyes gold
270, greenfemale, redmohawk / clowneyesblue
271, green, stringyhair
272, green, buckteeth / messyhair
273, male3, capforward / bigshades
274, male3, handlebars / earring / cap / regularshades
275, greenfemale, purplelipstick / stringyhair / purpleeyeshadow
276, female3, crazyhair
277, female3, redmohawk
278, female4, blacklipstick / straighthairdark
279, greenfemale, purplelipstick / straighthairblonde / blueeyeshadow
280, male4, earring
281, male3, 
282, female4, straighthairdark / classicshades
283, female3, hotlipstick / frumpyhair
284, male4, mohawkthin
285, female3, purplelipstick / darkhair
286, male4, goat / wildhair
287, female4, mohawk / cigarette / purpleeyeshadow
288, male4, shavedhead
289, greenfemale, mohawkthin / eyepatch
290, greenfemale, wildblonde
291, green, earring / mohawkthin
292, female3, blacklipstick / tasslehat
293, male3, handlebars / mohawkdark
294, male1, earring / hoodie / bigshades
295, bot, shavedhead
296, green, mohawkthin
297, green, muttonchops / crazyhair
298, female3, halfshaved
299, male1, muttonchops / dorag
300, male3, goat / headband
301, female4, hotlipstick / redmohawk / greeneyeshadow
302, greenfemale, purplelipstick / bandana / blueeyeshadow
303, female1, purplelipstick / redmohawk
304, green, shadowbeard / peakspike
305, female4, purplelipstick / blondebob / vr
306, female3, wildhair / vape
307, green, chinstrap / frumpyhair
308, male3, mole / messyhair / hornedrimglasses
309, green, shavedhead / bigshades
310, blue, earring / bandana / vape / classicshades
311, male3, frontbeard / frumpyhair
312, male3, chinstrap / capforward
313, female3, purplelipstick / mohawkdark
314, male4, policecap / eyemask
315, greenfemale, blacklipstick / wildwhitehair / cigarette
316, female1, bandana
317, demon, chinstrap / bandana
318, female4, hotlipstick / bandana / cigarette
319, female3, earring / straighthairdark
320, male1, stringyhair
321, green, peakspike
322, greenfemale, blacklipstick / pinkwithhat / clowneyesgreen
323, male1, mohawkdark
324, female4, hotlipstick / earring / blondebob
325, male1, mustache / policecap / lasereyes gold
326, female1, hotlipstick / earring / wildwhitehair
327, male4, crazyhair
328, male3, bandana / hornedrimglasses
329, greenfemale, bandana / eyepatch
330, green, knittedcap / clowneyesgreen
331, female4, purplelipstick / earring / tasslehat
332, male1, stringyhair / hornedrimglasses
333, female3, purplelipstick / straighthairblonde / purpleeyeshadow
334, male1, bigbeard / wildhair
335, green, clownhairgreen
336, green, normalbeard / tophat / nerdglasses
337, green, frumpyhair
338, male3, messyhair / lasereyes gold
339, female4, blacklipstick / mole / earring / cap / bigshades
340, green, muttonchops / headband / medicalmask / 3dglasses
341, female3, earring / messyhair
342, female3, bandana / regularshades
343, male3, shadowbeard / policecap
344, male1, beanie
345, greenfemale, earring / tasslehat
346, green, purplehair
347, green, knittedcap / hornedrimglasses
348, female3, rosycheeks / messyhair / nerdglasses
